dcr_regiao,id_projeto,nom_projeto,cd_talhao,data_cto,dcr_operacao,flag_cto_executado,data_inicio_operacao,dcr_municipio,dcr_estado,vlr_area
BRACELL BA LESTE,8318,MIRANGA,031-01,2025-01-29,BALDEIO FORWARDER,S,2025-01-22,Catu    ,BAHIA,93.24
BRACELL BA LESTE,8318,MIRANGA,029-01,2025-01-29,BALDEIO FORWARDER,S,2025-01-21,Catu    ,BAHIA,93.24
BRACELL BA LESTE,8021,BREJADA,013-01,2025-03-18,BALDEIO FORWARDER,S,2025-03-18,Entre Rios,BAHIA,0.01
BRACELL BA LESTE,8205,JULIETA,002-01,2025-01-29,BALDEIO FORWARDER,S,2025-01-19,Araças,BAHIA,0.71
BRACELL BA LESTE,8021,BREJADA,030-01,2025-03-18,BALDEIO FORWARDER,S,2025-03-18,Entre Rios,BAHIA,0.01
BRACELL BA LESTE,8205,JULIETA,006-01,2025-01-23,BALDEIO FORWARDER,S,2025-01-19,Araças,BAHIA,0.71
BRACELL BA LESTE,8327,PARTILHA,002-01,2025-01-20,BALDEIO FORWARDER,S,2025-01-14,Pojuca,BAHIA,15.79
BRACELL BA LESTE,8211,PAZ E BEM,004-01,2025-01-17,BALDEIO FORWARDER,S,2025-01-15,Araças,BAHIA,7.36
BRACELL BA LESTE,8208,MANGANGÁ,005-01,2025-01-29,BALDEIO FORWARDER,S,2025-01-20,,,
BRACELL SP,0632,SÃO MARCOS,018-01,2025-03-02,BALDEIO FORWARDER,S,2025-02-24,Analândia,SÃO PAULO,4.08
BRACELL SP,0632,SÃO MARCOS,025-01,2025-03-02,BALDEIO FORWARDER,S,2025-02-26,Analândia,SÃO PAULO,4.08
BRACELL SP,0632,SÃO MARCOS,030-01,2025-03-05,BALDEIO FORWARDER,S,2025-02-28,Analândia,SÃO PAULO,4.08
BRACELL SP,0632,SÃO MARCOS,005-01,2025-03-03,BALDEIO FORWARDER,S,2025-03-01,Analândia,SÃO PAULO,4.08
BRACELL BA OESTE,8182,SUBAÚMA MIRIM,027-01,2025-05-05,BALDEIO FORWARDER,S,2025-05-02,Aramari,BAHIA,29.11
BRACELL BA LESTE,8021,BREJADA,025-01,2025-02-26,BALDEIO FORWARDER,S,2025-02-23,Entre Rios,BAHIA,0.01
BRACELL SP,0500,PORTO SEGURO - GLEBA A,007-01,2025-05-24,BALDEIO FORWARDER,S,2025-05-22,Mineiros do Tietê,SÃO PAULO,19.28
BRACELL SP,0057,CABREÚVA,006-01,2025-06-11,BALDEIO FORWARDER,S,2025-06-08,Agudos,SÃO PAULO,38.16
BRACELL MG,5019,SAN NELO,005-01,,BALDEIO FORWARDER,N,,Sacramento,MINAS GERAIS,18.76
BRACELL SP,0632,SÃO MARCOS,009-01,2025-03-03,BALDEIO FORWARDER,S,2025-02-28,Analândia,SÃO PAULO,4.08
BRACELL SP,0632,SÃO MARCOS,032-01,2025-02-27,BALDEIO FORWARDER,S,2025-02-23,Analândia,SÃO PAULO,4.08
BRACELL SP,0632,SÃO MARCOS,010-01,2025-03-05,BALDEIO FORWARDER,S,2025-03-03,Analândia,SÃO PAULO,4.08
BRACELL SP,0632,SÃO MARCOS,028-01,2025-03-02,BALDEIO FORWARDER,S,2025-02-26,Analândia,SÃO PAULO,4.08
BRACELL SP,0632,SÃO MARCOS,019-01,2025-02-27,BALDEIO FORWARDER,S,2025-02-23,Analândia,SÃO PAULO,4.08
BRACELL SP,0632,SÃO MARCOS,020-01,2025-02-27,BALDEIO FORWARDER,S,2025-02-23,Analândia,SÃO PAULO,4.08
BRACELL SP,0428,SÃO MANOEL IV,007-01,2025-04-14,BALDEIO FORWARDER,S,2025-04-11,Presidente Alves,SÃO PAULO,0.18
BRACELL BA LESTE,8371,SÃO JORGE,004-01,2025-03-20,BALDEIO FORWARDER,S,2025-02-17,Paulistânia,SÃO PAULO,2.21
BRACELL SP,2019,NOSSA SENHORA APARECIDA XII - MARÍLIA,005-01,2025-05-07,BALDEIO FORWARDER,S,2025-05-05,Marília,SÃO PAULO,50.73
BRACELL SP,2019,NOSSA SENHORA APARECIDA XII - MARÍLIA,002-01,2025-05-09,BALDEIO FORWARDER,S,2025-05-04,Marília,SÃO PAULO,50.73
BRACELL SP,0538,ESTÂNCIA MARCOS ANDRÉ,001-01,2025-05-27,BALDEIO FORWARDER,S,2025-05-21,Getulina,SÃO PAULO,5.65
BRACELL SP,0274,BOA VISTA IV,004-01,2025-03-15,BALDEIO FORWARDER,S,2025-03-12,Avaí,SÃO PAULO,12.4
BRACELL BA OESTE,8115,PATIOBA,009-01,2025-05-26,BALDEIO FORWARDER,S,2025-05-21,Alagoinhas,BAHIA,24.07
BRACELL SP,0443,SANTA EMÍLIA II - GLEBA A,046-01,2025-04-29,BALDEIO FORWARDER,S,2025-03-18,Marília,SÃO PAULO,37.49
BRACELL SP,0379,NOSSA SENHORA AUXILIADORA,005-01,2025-05-01,BALDEIO FORWARDER,S,2025-04-25,Álvaro de Carvalho,SÃO PAULO,51.85
BRACELL SP,2145,SANTA FÉ - GÁLIA,003-01,,BALDEIO FORWARDER,N,,Gália,SÃO PAULO,0.18
BRACELL SP,0380,ONDA VERDE,017-01,2025-04-22,BALDEIO FORWARDER,S,2025-04-20,Lupércio,SÃO PAULO,5.66
BRACELL BA LESTE,8371,SÃO JORGE,008-02,2025-02-19,BALDEIO FORWARDER,S,2025-02-17,Paulistânia,SÃO PAULO,2.21
BRACELL SP,0309,BOA ESPERANÇA V,016-01,2025-04-29,BALDEIO FORWARDER,S,2025-04-17,Marília,SÃO PAULO,34.5
BRACELL BA OESTE,8115,PATIOBA,044-01,2025-06-02,BALDEIO FORWARDER,S,2025-05-28,Alagoinhas,BAHIA,24.07
BRACELL SP,0550,SANTA JOVITA,006-01,2025-04-24,BALDEIO FORWARDER,S,2025-04-16,Lupércio,SÃO PAULO,18.32
BRACELL BA OESTE,8045,FARJE,002-01,2025-04-01,BALDEIO FORWARDER,S,2025-03-31,Araças,BAHIA,24.0
BRACELL BA OESTE,8209,MONTE VERDE,020-01,2025-04-02,BALDEIO FORWARDER,S,2025-03-29,Alagoinhas,BAHIA,4.04
BRACELL BA OESTE,8045,FARJE,023-02,2025-04-02,BALDEIO FORWARDER,S,2025-04-01,Araças,BAHIA,24.0
BRACELL BA OESTE,8045,FARJE,004-02,2025-04-01,BALDEIO FORWARDER,S,2025-04-01,Araças,BAHIA,24.0
BRACELL BA OESTE,8130,RIO TORTO,021-01,2025-05-07,BALDEIO FORWARDER,S,2025-05-03,Alagoinhas,BAHIA,17.74
BRACELL SP,0643,SANTA FRANCISCA - GLEBA A,008-01,2025-06-04,BALDEIO FORWARDER,S,2025-06-01,Piratininga,SÃO PAULO,48.24
BRACELL BA LESTE,8371,SÃO JORGE,002-01,2025-02-19,BALDEIO FORWARDER,S,2025-02-16,Paulistânia,SÃO PAULO,2.21
BRACELL BA LESTE,8225,SENHOR DO BONFIM,003-01,2025-03-20,BALDEIO FORWARDER,S,2025-03-19,Entre Rios,BAHIA,57.18
BRACELL BA LESTE,8371,SÃO JORGE,007-01,2025-02-19,BALDEIO FORWARDER,S,2025-02-16,Paulistânia,SÃO PAULO,2.21
BRACELL BA LESTE,8371,SÃO JORGE,005-01,2025-02-19,BALDEIO FORWARDER,S,2025-02-16,Paulistânia,SÃO PAULO,2.21
BRACELL BA OESTE,8209,MONTE VERDE,030-01,2025-04-02,BALDEIO FORWARDER,S,2025-03-28,Alagoinhas,BAHIA,4.04
BRACELL SP,2010,GUATILU,003-01,2025-05-11,BALDEIO FORWARDER,S,2025-05-08,Guaimbê,SÃO PAULO,1.05
BRACELL BA OESTE,8034,CATUZINHO,001-01,2025-04-23,BALDEIO FORWARDER,S,2025-04-15,Aramari,BAHIA,15.19
BRACELL SP,0358,SÃO JOSÉ IV - GLEBA I,003-01,2025-03-09,BALDEIO FORWARDER,S,2025-03-04,Avaí,SÃO PAULO,13.89
BRACELL BA OESTE,8130,RIO TORTO,020-01,2025-05-07,BALDEIO FORWARDER,S,2025-04-15,Alagoinhas,BAHIA,17.74
BRACELL SP,0470,ESTRELA,005-01,2025-05-16,BALDEIO FORWARDER,S,2025-05-13,Pirajuí,SÃO PAULO,4.22
BRACELL SP,0343,SOF,015-01,2025-03-08,BALDEIO FORWARDER,S,2025-03-05,Avaí,SÃO PAULO,19.13
BRACELL SP,0140,CAMAPUÃ,051-01,2025-02-20,BALDEIO FORWARDER,S,2025-02-11,Reginópolis,SÃO PAULO,9.76
BRACELL SP,0649,SÃO FRANCISCO IX,005-01,2025-05-01,BALDEIO FORWARDER,S,2025-05-01,Álvaro de Carvalho,SÃO PAULO,47.17
BRACELL SP,0552,BOCAINA DA BOA VISTA,006-01,2025-05-13,BALDEIO FORWARDER,S,2025-05-10,Ribeirão Bonito,SÃO PAULO,1.46
BRACELL BA LESTE,8371,SÃO JORGE,016-01,2025-02-21,BALDEIO FORWARDER,S,2025-02-21,Paulistânia,SÃO PAULO,2.21
BRACELL BA LESTE,8224,SANTANA,001-01,2025-02-18,BALDEIO FORWARDER,S,2025-02-15,Entre Rios,BAHIA,5.6
BRACELL SP,0633,SANTA LUCIA IV - PIRATININGA,002-01,2025-06-01,BALDEIO FORWARDER,S,2025-05-19,Piratininga,SÃO PAULO,0.07
BRACELL SP,0471,SÃO JOSÉ V - QUINTANA,003-01,,BALDEIO FORWARDER,N,,Quintana,SÃO PAULO,17.67
BRACELL SP,0471,SÃO JOSÉ V - QUINTANA,001-01,,BALDEIO FORWARDER,N,2025-06-13,Quintana,SÃO PAULO,17.67
BRACELL SP,0471,SÃO JOSÉ V - QUINTANA,028-01,,BALDEIO FORWARDER,N,,Quintana,SÃO PAULO,17.67
BRACELL SP,0643,SANTA FRANCISCA - GLEBA A,006-01,2025-06-04,BALDEIO FORWARDER,S,2025-06-01,Piratininga,SÃO PAULO,48.24
