dcr_regiao,id_projeto,nom_projeto,cd_talhao,data_cto,dcr_operacao,flag_cto_executado,data_inicio_operacao,dcr_municipio,dcr_estado,vlr_area
BRACELL BA LESTE,8318,MIRANGA,029-01,2025-01-02,CORTE HARVESTER,S,2024-12-27,Catu    ,BAHIA,93.24
BRACELL BA LESTE,8318,MIRANGA,002-01,2025-01-02,CORTE HARVESTER,S,2024-12-23,Catu    ,BAHIA,93.24
BRACELL BA LESTE,8208,MANGANGÁ,005-01,2025-01-02,CORTE HARVESTER,S,2024-12-18,Catu    ,BAHIA,12.35
BRACELL MG,5019,SAN NELO,040-01,2025-05-03,CORTE HARVESTER,S,2025-04-23,Sacramento,MINAS GERAIS,1.34
BRACELL BA OESTE,8383,SERRA DO BODE,004-01,2025-04-29,CORTE HARVESTER,S,2025-04-21,Alagoinhas,BAHIA,0.09
BRACELL BA LESTE,8371,SÃO JORGE,009-01,2025-01-29,CORTE HARVESTER,S,2025-01-19,Entre Rios,BAHIA,5.8
BRACELL SP,0584,SONHO MEU,011-01,2025-05-06,CORTE HARVESTER,S,2025-05-04,Guaimbê,SÃO PAULO,1.79
BRACELL BA LESTE,8371,SÃO JORGE,008-02,2025-01-29,CORTE HARVESTER,S,2025-01-21,Entre Rios,BAHIA,5.8
BRACELL SP,0439,ESTÂNCIA SANTA LAURA,001-01,2025-04-25,CORTE HARVESTER,S,2025-04-15,Guaimbê,SÃO PAULO,0.6
BRACELL SP,0643,SANTA FRANCISCA - GLEBA A,008-01,2025-04-28,CORTE HARVESTER,S,2025-04-24,Piratininga,SÃO PAULO,0.78
BRACELL BA OESTE,8383,SERRA DO BODE,008-01,2025-04-23,CORTE HARVESTER,S,2025-04-22,Alagoinhas,BAHIA,0.09
BRACELL SP,0550,SANTA JOVITA,007-01,2025-03-14,CORTE HARVESTER,S,2025-03-09,Alvinlândia,SÃO PAULO,19.71
BRACELL SP,0439,ESTÂNCIA SANTA LAURA,004-01,2025-05-05,CORTE HARVESTER,S,2025-04-18,Guaimbê,SÃO PAULO,0.6
BRACELL SP,0290,ALAMBARI II,003-01,2025-06-12,CORTE HARVESTER,S,2025-06-08,Anhembi,SÃO PAULO,10.03
BRACELL SP,0309,BOA ESPERANÇA V,017-01,,CORTE HARVESTER,N,,Marília,SÃO PAULO,34.5
BRACELL BA OESTE,8383,SERRA DO BODE,009-01,2025-04-23,CORTE HARVESTER,S,2025-04-22,Alagoinhas,BAHIA,0.09
BRACELL SP,0550,SANTA JOVITA,006-01,2025-03-13,CORTE HARVESTER,S,2025-03-06,Alvinlândia,SÃO PAULO,19.71
BRACELL BA OESTE,8115,PATIOBA,011-01,2025-05-07,CORTE HARVESTER,S,2025-04-23,Alagoinhas,BAHIA,36.26
BRACELL BA OESTE,8115,PATIOBA,041-01,2025-05-07,CORTE HARVESTER,S,2025-05-02,Alagoinhas,BAHIA,36.26
BRACELL BA LESTE,8371,SÃO JORGE,002-01,2025-02-04,CORTE HARVESTER,S,2025-01-23,Entre Rios,BAHIA,5.8
BRACELL BA LESTE,8225,SENHOR DO BONFIM,003-01,2025-03-20,CORTE HARVESTER,S,2025-03-19,Entre Rios,BAHIA,57.18
BRACELL BA LESTE,8371,SÃO JORGE,007-01,2025-01-29,CORTE HARVESTER,S,2025-01-21,Entre Rios,BAHIA,5.8
BRACELL BA LESTE,8371,SÃO JORGE,005-01,2025-02-04,CORTE HARVESTER,S,2025-01-22,Entre Rios,BAHIA,5.8
BRACELL SP,0591,SÃO JOSÉ VIII,001-01,2025-05-20,CORTE HARVESTER,S,2025-05-16,Cabrália Paulista,SÃO PAULO,1.09
BRACELL SP,0538,ESTÂNCIA MARCOS ANDRÉ,002-01,2025-05-02,CORTE HARVESTER,S,2025-04-28,Getulina,SÃO PAULO,0.14
BRACELL SP,0649,SÃO FRANCISCO IX,002-01,2025-03-20,CORTE HARVESTER,S,2025-03-13,Álvaro de Carvalho,SÃO PAULO,61.05
BRACELL BA OESTE,8110,ORION,017-01,2025-04-02,CORTE HARVESTER,S,2025-04-01,Araças,BAHIA,27.56
BRACELL SP,0248,PARAÍSO IV,007-01,2025-04-25,CORTE HARVESTER,S,2025-03-19,Pirajuí,SÃO PAULO,20.57
BRACELL BA OESTE,8045,FARJE,004-01,2025-03-11,CORTE HARVESTER,S,2025-03-09,Araças,BAHIA,36.99
BRACELL SP,0591,SÃO JOSÉ VIII,003-01,2025-05-19,CORTE HARVESTER,S,2025-05-14,Cabrália Paulista,SÃO PAULO,1.09
BRACELL SP,0604,SÃO BENEDITO II – GUAIMBÊ,001-01,2025-05-02,CORTE HARVESTER,S,2025-04-22,Guaimbê,SÃO PAULO,25.71
BRACELL SP,0552,BOCAINA DA BOA VISTA,004-01,2025-05-11,CORTE HARVESTER,S,2025-04-18,Ribeirão Bonito,SÃO PAULO,1.46
BRACELL BA LESTE,8371,SÃO JORGE,016-01,2025-01-23,CORTE HARVESTER,S,2025-01-19,Entre Rios,BAHIA,5.8
BRACELL SP,0471,SÃO JOSÉ V - QUINTANA,001-01,2025-05-13,CORTE HARVESTER,S,2025-04-20,Quintana,SÃO PAULO,25.49
BRACELL SP,0633,SANTA LUCIA IV - PIRATININGA,002-01,2025-05-02,CORTE HARVESTER,S,2025-04-27,Piratininga,SÃO PAULO,0.07
BRACELL BA LESTE,8224,SANTANA,001-01,2025-02-04,CORTE HARVESTER,S,2025-01-22,Entre Rios,BAHIA,5.6
BRACELL SP,0471,SÃO JOSÉ V - QUINTANA,028-01,2025-04-26,CORTE HARVESTER,S,2025-04-25,Quintana,SÃO PAULO,25.49
BRACELL SP,0643,SANTA FRANCISCA - GLEBA A,006-01,2025-04-28,CORTE HARVESTER,S,2025-04-23,Piratininga,SÃO PAULO,0.78
BRACELL BA LESTE,8165,SERGIPE,028-01,2025-02-04,CORTE HARVESTER,S,2025-01-27,Jandaíra,BAHIA,13.28
BRACELL SP,0633,SANTA LUCIA IV - PIRATININGA,001-01,2025-05-02,CORTE HARVESTER,S,2025-04-29,Piratininga,SÃO PAULO,0.07
BRACELL SP,0413,CÓRREGO DO CAMPO II,001-01,2025-04-24,CORTE HARVESTER,S,2025-04-21,Mineiros do Tietê,SÃO PAULO,7.39
BRACELL SP,0413,CÓRREGO DO CAMPO II,004-01,2025-04-28,CORTE HARVESTER,S,2025-04-20,Mineiros do Tietê,SÃO PAULO,7.39
BRACELL BA LESTE,8252,BICA,005-01,2025-01-20,CORTE HARVESTER,S,2025-01-14,Entre Rios,BAHIA,9.26
BRACELL BA LESTE,8252,BICA,022-01,2025-01-30,CORTE HARVESTER,S,2025-01-21,Entre Rios,BAHIA,9.26
BRACELL SP,0599,SÍTIO NOVO HORIZONTE,001-01,2025-06-05,CORTE HARVESTER,S,2025-05-31,Avaí,SÃO PAULO,1.19
BRACELL BA LESTE,8355,RIBON,009-03,2025-02-04,CORTE HARVESTER,S,2025-01-25,Araças,BAHIA,1.32
BRACELL BA LESTE,8355,RIBON,010-01,2025-02-04,CORTE HARVESTER,S,2025-01-21,Araças,BAHIA,1.32
BRACELL BA OESTE,8115,PATIOBA,035-01,2025-05-05,CORTE HARVESTER,S,2025-04-29,Alagoinhas,BAHIA,36.26
BRACELL MG,5009,SANTA IZA,096-01,2025-03-05,CORTE HARVESTER,S,2025-02-14,Veríssimo,MINAS GERAIS,11.08
BRACELL BA OESTE,8383,SERRA DO BODE,001-01,2025-04-29,CORTE HARVESTER,S,2025-04-24,Alagoinhas,BAHIA,0.09
BRACELL GO,1086,QUEIXADA,001-01,2025-05-02,CORTE HARVESTER,S,2025-04-19,Itarumã,GOIÁS,0.94
BRACELL GO,1086,QUEIXADA,042-01,2025-04-21,CORTE HARVESTER,S,2025-04-20,Itarumã,GOIÁS,0.94
BRACELL BA LESTE,8252,BICA,004-01,2025-01-20,CORTE HARVESTER,S,2025-01-16,Entre Rios,BAHIA,9.26
BRACELL BA LESTE,8176,PEDRA FURADA,005-01,2025-01-09,CORTE HARVESTER,S,2024-12-30,Araças,BAHIA,5.84
BRACELL BA LESTE,8176,PEDRA FURADA,007-01,2025-01-08,CORTE HARVESTER,S,2024-12-29,Araças,BAHIA,5.84
BRACELL BA LESTE,8176,PEDRA FURADA,008-01,2025-01-09,CORTE HARVESTER,S,2024-12-30,Araças,BAHIA,5.84
BRACELL BA LESTE,8225,SENHOR DO BONFIM,001-01,2025-03-20,CORTE HARVESTER,S,2025-03-20,Entre Rios,BAHIA,57.18
BRACELL GO,1086,QUEIXADA,038-01,2025-04-21,CORTE HARVESTER,S,2025-04-19,Itarumã,GOIÁS,0.94
BRACELL SP,0657,SANTO ANTÔNIO DOS PALMARES,025-01,2025-04-29,CORTE HARVESTER,S,2025-03-31,Botucatu,SÃO PAULO,2.62
BRACELL SP,0465,ALIANÇA III,005-01,2025-03-07,CORTE HARVESTER,S,2025-02-25,Itapeva,SÃO PAULO,11.97
BRACELL SP,0465,ALIANÇA III,003-01,2025-03-06,CORTE HARVESTER,S,2025-02-23,Itapeva,SÃO PAULO,11.97
BRACELL BA LESTE,8252,BICA,010-01,2025-01-20,CORTE HARVESTER,S,2025-01-13,Entre Rios,BAHIA,9.26
BRACELL BA LESTE,8355,RIBON,005-02,2025-02-04,CORTE HARVESTER,S,2025-01-20,Araças,BAHIA,1.32
BRACELL BA LESTE,8355,RIBON,008-02,2025-02-04,CORTE HARVESTER,S,2025-01-24,Araças,BAHIA,1.32
BRACELL BA LESTE,8225,SENHOR DO BONFIM,007-01,2025-03-20,CORTE HARVESTER,S,2025-03-18,Entre Rios,BAHIA,57.18
BRACELL BA LESTE,8355,RIBON,001-02,2025-02-04,CORTE HARVESTER,S,2025-01-15,Araças,BAHIA,1.32
BRACELL BA LESTE,8172,CAMPO GRANDE,025-01,2025-01-20,CORTE HARVESTER,S,2025-01-11,Cardeal da Silva,BAHIA,0.8
BRACELL BA LESTE,8371,SÃO JORGE,003-01,2025-01-29,CORTE HARVESTER,S,2025-01-22,Entre Rios,BAHIA,5.8
BRACELL BA LESTE,8184,VALE DO IMBÉ,014-02,2025-01-16,CORTE HARVESTER,S,2025-01-09,Cardeal da Silva,BAHIA,12.07
BRACELL BA LESTE,8219,RIACHINHO,001-01,2025-01-09,CORTE HARVESTER,S,2025-01-06,Cardeal da Silva,BAHIA,3.54
